Pin Location,Power,Ground,Control,GPIO,Wiring GPIO,Python (BCM),Serial,PWM ,Misc,Stuff,Stuff,Stuff
,,,,,,,,,,,,
Left,,,,,,,,,,,,
1,3.3V,,,,,,,,,,,
3,,,,2,8,,SDA,,,,,
5,,,,3,9,,SCL,,,,,
7,,,,4,7,4,,,GP CLK0,,,
9,,GND,,,,,,,,,,
11,,,,17,0,17,,,ce1,,,
13,,,,27,2,27,,,ARM TMS,,,
15,,,,22,3,22,,,,,,
17,3.3V,,,,,,,,,,,
19,,,,10,12,,MOSI,,,,,
21,,,,9,13,,MISO,,,,,
23,,,,11,14,,SCLK,,,,,
25,,GND,,,,,,,,,,
27,,,DNC,0,30,,,,ID_SD,,,
29,,,,5,21,5,,,GPCLK1,,,
31,,,,6,22,6,,,GPCLK2,,,
33,,,,13,23,13,,PWM1,,,,
35,,,,19,24,19,miso,PWM1,,,,
37,,,,26,25,26,,,,,,
39,,GND,,,,,,,,,,
,,,,,,,,,,,,
TV,,,TV,,,,,,,,,
TV,,,TV,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Right,,,,,,,,,,,,
2,5V,,,,,,,,,,,
4,5V,,,,,,,,,,,
6,,GND,,,,,,,,,,
8,,,,14,15,,TXD,,,,,
10,,,,15,16,,RXD,,,,,
12,,,,18,1,18,,PWM0,ce0,,,
14,,GND,,,,,,,,,,
16,,,,23,4,23,,,,,,
18,,,,24,5,24,,,,,,
20,,GND,,,,,,,,,,
22,,,,25,6,25,,,,,,
24,,,,8,10,,SPI CS0,,ce0,,,
26,,,,7,11,,SPI CS1,,ce1,,,
28,,,DNC,1,31,,,,ID_SC,,,
30,,GND,,,,,,,,,,
32,,,,12,26,12,,PWM0,,,,
34,,GND,,,,,,,,,,
36,,,,16,27,16,,,ce2,,,
38,,,,20,28,20,,,mosi,,,
40,,,,21,29,21,,,sclk,,,
,,,,,,,,,,,,
Run,,,Run,,,,,,,,,
Run,,,Run,,,,,,,,,
,,,,,,,,,,,,
PP1,USB,,,,,,,,,,,
PP6,,GND,,,,,,,,,,
PP8,3.3V,,,,,,,,,,,
PP14,,,,SD CLK,,,,,,,,
PP15,,,,SD CMD,,,,,,,,
PP16,,,,SD DAT0,,,,,,,,
PP17,,,,SD DAT1,,,,,,,,
PP18,,,,SD DAT2,,,,,,,,
PP19,,,,SD CD,,,,,,,,
PP22,,,,USB D+,,,,,,,,
PP23,,,,USB D-,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Text,,,,,,,,,,,,
GPIO 0 and 1 are reserved,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Process,ARM v7,Single Core,1GHz,(same as B+ and A+),,,,,,,,
Memory,512MB RAM,,,,,,,,,,,
Video,mini HDMI,PAL or NTSC via pads,HDMI capable of 1080p,,,,,,,,,
USB,microB for power,microAB for OTG,,,,,,,,,,
Audio,from HDMI port only,,,,,,,,,,,
Connectors,uSD,mini HDMI,USB microB,USB MicroAB,Camera,Reset,TV,40 pin connector,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
EOF,,,,,,,,,,,,
