Name,Power,GND,Control,Arduino,Port,ADC,Interupt,Serial,Sercom,DAC,Misc
Right,,,,,,,,,,, 
D4,,,,D4,PA06,AIN6,INT6,,0:2,,VREFC
D1,,,,D1,PA12,,INT12,RX,2:0/4:1,, 
D0,,,,D0,PA13,,INT13,RX,2:1/ 4:0,, 
MISO,,,,D22,PB11,,INT11,MISO,4:3,, 
MOSI,,,,D23,PB12,,INT12,MOSI,4:0,, 
SCK,,,,D24,PB13,,INT13,SCK,4:1,, 
A5,,,,A5,PB02,AIN14,INT2,,5:0,, 
A4,,,,A4,PA05,AIN5,INT5,,0:1,DAC1, 
A3,,,,A3,PA04,AIN4,INT4,,0:0,,VREFB
A2,,,,A2,PB09,AIN3,INT9,,4:1,, 
A1,,,,A1,PB08,AIN2,INT8,,4:0,, 
A0,,,,A0,PA02,AIN0,INT2,,,DAC0, 
GND,,GND,,,,,,,,, 
NC,,,NC,,,,,,,, 
3v3,3.3V,,,,,,,,,, 
RESET,,,RESET,,,,,,,, 
,,,,,,,,,,, 
Left,,,,,,,,,,, 
SDA,,,,D20,PA22,,INT6,SDA,3:0/5:1,, 
SCL,,,,D21,PA23,,INT7,SCL,3:1/5:0,, 
D5,,,,D5,PA15,,INT15,,2:3 /4:3,, 
D6,,,,D6,PA20,,INT4,,5:2 3:2,, 
D9,,,,D9,PA07,AIN7,INT7,,0:3,, 
D10,,,,D10,PA18,,INT2,,1:2 3:2,, 
D11,,,,D11,PA16,,INT0,,1:0/3:1,, 
D12,,,,D12,PA19,,INT3,,1:3/3:3,, 
D13,,,,D13,PA17,,INT12,,1:0/3:1,, 
VUSB,VUSB,,,,,,,,,, 
EN,,,VREG,,,,,,,, 
VBAT,VBAT,,,,,,,,,, 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
,,,,,,,,,,, 
RESET BUTTON,,,RESET,,,,,,,, 
,,,,D7,PA21,,INT5,,5:3/3:3,, 
TXLED,,,,,PA27,,INT11,,,, 
RXLED,,,,,PB03,AIN13,INT3,,5:1,, 
LED,,,,D13,PA17,,INT12,,1:0/3:1,, 
SWCLK,,,,,PA30,,INT14,,7:2/1:2,,SWCLK
SWDIO,,,,,PA31,,INT15,,7:3/1:3,,SWDIO
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
Text,,,,,,,,,,, 
SamD51J20A,Flash,,,,,,,,,, 
Qwiic connector,QWIIC,,,,,,,,,, 
microB USB,,,,,,,,,,, 
Battery charger,Charge Resistor,Single Cell Lipo,,,,,,,,, 
Charge LED: Yellow,RXLED,RXLED,PowerLED,Status LED,,,,,,, 
Vin: 2.5V-  6V,VCC: 3.3V @600mA,,,,,,,,,, 
High Sink pins:  PA08 09 12 13 16 17 22 23,,,,,,,,,,, 
I2C:  PA12  PA13  PA13  PA17  PA22  PA23,,,,,,,,,,, 
I2C pullups,,,,,,,,,,, 
Reset button,,,,,,,,,,, 
JST Connector,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
,,,,,,,,,,, 
EOF,,,,,,,,,,, 
